ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
1757,Recyclable and Low Fat Products,Easy,https://leetcode.com/problems/recyclable-and-low-fat-products/,Database,89.12,False,Database,2996,125,,[]
2779,Maximum Beauty of an Array After Applying Operation,Medium,https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/,"Array, Binary Search, Sliding Window, Sorting",58.15,False,Algorithms,1249,47,,"[{""title"": ""Maximum Size Subarray Sum Equals k"", ""titleSlug"": ""maximum-size-subarray-sum-equals-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Partition Array Such That Maximum Difference Is K"", ""titleSlug"": ""partition-array-such-that-maximum-difference-is-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3305,Count of Substrings Containing Every Vowel and K Consonants I,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/,"Hash Table, String, Sliding Window",41.38,False,Algorithms,135,11,,"[{""title"": ""Longest Substring Of All Vowels in Order"", ""titleSlug"": ""longest-substring-of-all-vowels-in-order"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Vowel Substrings of a String"", ""titleSlug"": ""count-vowel-substrings-of-a-string"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3463,Check If Digits Are Equal in String After Operations II,Hard,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/,"Math, String, Combinatorics, Number Theory",10.96,False,Algorithms,76,46,,"[{""title"": ""Pascal's Triangle"", ""titleSlug"": ""pascals-triangle"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
2127,Maximum Employees to Be Invited to a Meeting,Hard,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting/,"Depth-First Search, Graph, Topological Sort",62.01,False,Algorithms,1637,70,,"[{""title"": ""Redundant Connection"", ""titleSlug"": ""redundant-connection"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Parallel Courses III"", ""titleSlug"": ""parallel-courses-iii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Process Restricted Friend Requests"", ""titleSlug"": ""process-restricted-friend-requests"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
427,Construct Quad Tree,Medium,https://leetcode.com/problems/construct-quad-tree/,"Array, Divide and Conquer, Tree, Matrix",77.43,False,Algorithms,1671,1926,,[]
3326,Minimum Division Operations to Make Array Non Decreasing,Medium,https://leetcode.com/problems/minimum-division-operations-to-make-array-non-decreasing/,"Array, Math, Greedy, Number Theory",28.68,False,Algorithms,128,28,,"[{""title"": ""Smallest Value After Replacing With Sum of Prime Factors"", ""titleSlug"": ""smallest-value-after-replacing-with-sum-of-prime-factors"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2293,Min Max Game,Easy,https://leetcode.com/problems/min-max-game/,"Array, Simulation",63.81,False,Algorithms,565,29,,"[{""title"": ""Elimination Game"", ""titleSlug"": ""elimination-game"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Triangular Sum of an Array"", ""titleSlug"": ""find-triangular-sum-of-an-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2741,Special Permutations,Medium,https://leetcode.com/problems/special-permutations/,"Array, Dynamic Programming, Bit Manipulation, Bitmask",28.77,False,Algorithms,581,66,,[]
2977,Minimum Cost to Convert String II,Hard,https://leetcode.com/problems/minimum-cost-to-convert-string-ii/,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path",25.77,False,Algorithms,116,79,,"[{""title"": ""Can Convert String in K Moves"", ""titleSlug"": ""can-convert-string-in-k-moves"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Moves to Convert String"", ""titleSlug"": ""minimum-moves-to-convert-string"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Minimum Number of Valid Strings to Form Target II"", ""titleSlug"": ""minimum-number-of-valid-strings-to-form-target-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Number of Valid Strings to Form Target I"", ""titleSlug"": ""minimum-number-of-valid-strings-to-form-target-i"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
